dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
Sewerage,000771_lcam_front_lidar.ply,0.10002,799,0.15199,0.14158,0.15001,500,0.22045,0.21092,0.25,200,0.00278,0.10341,standard
Sewerage,000772_lcam_front_lidar.ply,0.10002,799,0.14974,0.14168,0.15001,500,0.00608,0.20552,0.25,200,0.00161,0.02544,strict
Sewerage,000773_lcam_front_lidar.ply,0.10002,799,0.1496,0.14283,0.15001,500,0.01238,0.13651,0.25,200,0.00368,0.11333,strict
Sewerage,000774_lcam_front_lidar.ply,0.10002,799,0.00382,0.12694,0.15001,500,0.01047,0.13759,0.25,200,0.01993,0.28647,loose
Sewerage,000775_lcam_front_lidar.ply,0.10002,799,0.00285,0.14177,0.15001,500,0.21592,0.21254,0.25,200,0.01988,0.28332,standard
Sewerage,000776_lcam_front_lidar.ply,0.10002,799,0.14595,0.142,0.15001,500,0.01221,0.13154,0.25,200,0.02064,0.28608,strict
Sewerage,000777_lcam_front_lidar.ply,0.10002,799,0.14658,0.14574,0.15001,500,0.20993,0.21043,0.25,200,0.00078,0.04975,standard
Sewerage,000778_lcam_front_lidar.ply,0.10002,799,0.00389,0.13246,0.15001,500,0.21031,0.21055,0.25,200,0.00526,0.1335,standard
Sewerage,000779_lcam_front_lidar.ply,0.10002,799,0.14587,0.1461,0.15001,500,0.01182,0.12919,0.25,200,0.012,0.201,strict
Sewerage,000780_lcam_front_lidar.ply,0.10002,799,0.00495,0.08908,0.15001,500,0.01043,0.10866,0.25,200,0.01922,0.2695,loose
Sewerage,000781_lcam_front_lidar.ply,0.10002,799,0.14365,0.14481,0.15001,500,0.01162,0.12954,0.25,200,0.00184,0.24589,strict
Sewerage,000782_lcam_front_lidar.ply,0.10002,799,0.14367,0.14535,0.15001,500,0.00925,0.1272,0.25,200,0.01931,0.27574,strict
Sewerage,000783_lcam_front_lidar.ply,0.10002,799,0.14003,0.14096,0.15001,500,0.00346,0.11686,0.25,200,0.00668,0.07561,strict
