dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,winner
SeasonalForestWinterNight,000772_lcam_front_lidar.ply,0.10002,799,0.10161,0.12996,0.15001,500,0.00255,0.00118,0.25,200,0.06819,0.25787,strict
SeasonalForestWinterNight,000773_lcam_front_lidar.ply,0.10002,799,0.09738,0.10901,0.15001,500,0.05263,0.14795,0.25,200,0.00536,0.03108,strict
SeasonalForestWinterNight,000774_lcam_front_lidar.ply,0.10002,799,0.10516,0.11386,0.15001,500,0.05228,0.15745,0.25,200,0.00566,0.03194,strict
SeasonalForestWinterNight,000775_lcam_front_lidar.ply,0.10002,799,0.08652,0.11605,0.15001,500,0.05279,0.14612,0.25,200,0.00556,0.03222,strict
SeasonalForestWinterNight,000776_lcam_front_lidar.ply,0.10002,799,0.09982,0.11197,0.15001,500,0.01183,0.03578,0.25,200,0.00606,0.03444,strict
SeasonalForestWinterNight,000777_lcam_front_lidar.ply,0.10002,799,0.0945,0.1069,0.15001,500,0.04504,0.1465,0.25,200,0.0061,0.03466,strict
SeasonalForestWinterNight,000778_lcam_front_lidar.ply,0.10002,799,0.04996,0.09615,0.15001,500,0.04456,0.14519,0.25,200,0.00624,0.03517,strict
SeasonalForestWinterNight,000779_lcam_front_lidar.ply,0.10002,799,0.16772,0.11736,0.15001,500,0.02676,0.1505,0.25,200,0.00637,0.03654,strict
SeasonalForestWinterNight,000780_lcam_front_lidar.ply,0.10002,799,0.08991,0.10529,0.15001,500,0.04818,0.14337,0.25,200,0.00656,0.03646,strict
SeasonalForestWinterNight,000781_lcam_front_lidar.ply,0.10002,799,0.09012,0.10234,0.15001,500,0.04511,0.14327,0.25,200,0.00653,0.03631,strict
SeasonalForestWinterNight,000782_lcam_front_lidar.ply,0.10002,799,0.10275,0.1106,0.15001,500,0.04745,0.15619,0.25,200,0.00667,0.0354,strict
SeasonalForestWinterNight,000783_lcam_front_lidar.ply,0.10002,799,0.07553,0.09978,0.15001,500,0.04178,0.14319,0.25,200,0.00667,0.0354,strict
SeasonalForestWinterNight,000784_lcam_front_lidar.ply,0.10002,799,0.08521,0.10989,0.15001,500,0.04436,0.15046,0.25,200,0.00544,0.02423,strict
SeasonalForestWinterNight,000785_lcam_front_lidar.ply,0.10002,799,0.1574,0.11528,0.15001,500,0.04399,0.14968,0.25,200,0.00552,0.02498,strict
SeasonalForestWinterNight,000786_lcam_front_lidar.ply,0.10002,799,0.10225,0.10658,0.15001,500,0.04086,0.15827,0.25,200,0.00695,0.02695,strict
SeasonalForestWinterNight,000787_lcam_front_lidar.ply,0.10002,799,0.08739,0.09839,0.15001,500,0.04137,0.15026,0.25,200,0.00556,0.02425,strict
SeasonalForestWinterNight,000788_lcam_front_lidar.ply,0.10002,799,0.11933,0.11594,0.15001,500,0.04136,0.15225,0.25,200,0.04701,0.28596,strict
SeasonalForestWinterNight,000789_lcam_front_lidar.ply,0.10002,799,0.11211,0.1115,0.15001,500,0.04149,0.14464,0.25,200,0.00693,0.02568,strict
SeasonalForestWinterNight,000790_lcam_front_lidar.ply,0.10002,799,0.05689,0.08602,0.15001,500,0.03778,0.13933,0.25,200,0.00715,0.02365,strict
SeasonalForestWinterNight,000791_lcam_front_lidar.ply,0.10002,799,0.15743,0.11884,0.15001,500,0.0389,0.15182,0.25,200,0.00719,0.02281,strict
SeasonalForestWinterNight,000792_lcam_front_lidar.ply,0.10002,799,0.1086,0.11123,0.15001,500,0.03815,0.1492,0.25,200,0.00743,0.02292,strict
SeasonalForestWinterNight,000793_lcam_front_lidar.ply,0.10002,799,0.15191,0.11594,0.15001,500,0.03708,0.15091,0.25,200,0.06954,0.2849,strict
SeasonalForestWinterNight,000794_lcam_front_lidar.ply,0.10002,799,0.12004,0.09901,0.15001,500,0.0351,0.18783,0.25,200,0.03401,0.20165,strict
SeasonalForestWinterNight,000795_lcam_front_lidar.ply,0.10002,799,0.13726,0.12495,0.15001,500,0.03603,0.1518,0.25,200,0.00757,0.02339,strict
SeasonalForestWinterNight,000796_lcam_front_lidar.ply,0.10002,799,0.12412,0.11555,0.15001,500,0.02448,0.13842,0.25,200,0.00734,0.02136,strict
SeasonalForestWinterNight,000797_lcam_front_lidar.ply,0.10002,799,0.13356,0.11104,0.15001,500,0.03454,0.15649,0.25,200,0.00822,0.02501,strict
SeasonalForestWinterNight,000798_lcam_front_lidar.ply,0.10002,799,0.09979,0.10885,0.15001,500,0.03612,0.15799,0.25,200,0.00753,0.02461,strict
SeasonalForestWinterNight,000799_lcam_front_lidar.ply,0.10002,799,0.14643,0.10867,0.15001,500,0.01458,0.08294,0.25,200,0.00828,0.02585,strict
SeasonalForestWinterNight,000800_lcam_front_lidar.ply,0.10002,799,0.11809,0.11797,0.15001,500,0.03469,0.15788,0.25,200,0.00843,0.02513,strict
SeasonalForestWinterNight,000801_lcam_front_lidar.ply,0.10002,799,0.11861,0.11212,0.15001,500,0.02807,0.14094,0.25,200,0.00863,0.02903,strict
SeasonalForestWinterNight,000802_lcam_front_lidar.ply,0.10002,799,0.14277,0.11916,0.15001,500,0.03229,0.15801,0.25,200,0.0281,0.17704,strict
SeasonalForestWinterNight,000803_lcam_front_lidar.ply,0.10002,799,0.11061,0.10973,0.15001,500,0.00283,0.14138,0.25,200,0.00746,0.02915,strict
SeasonalForestWinterNight,000804_lcam_front_lidar.ply,0.10002,799,0.14101,0.11159,0.15001,500,0.03431,0.14677,0.25,200,0.00811,0.02929,strict
SeasonalForestWinterNight,000805_lcam_front_lidar.ply,0.10002,799,0.14801,0.11988,0.15001,500,0.03063,0.16372,0.25,200,0.07305,0.29134,strict
SeasonalForestWinterNight,000806_lcam_front_lidar.ply,0.10002,799,0.12777,0.118,0.15001,500,0.02046,0.12264,0.25,200,0.05582,0.24807,strict
SeasonalForestWinterNight,000807_lcam_front_lidar.ply,0.10002,799,0.07236,0.10128,0.15001,500,0.0299,0.16273,0.25,200,0.03638,0.15289,strict
SeasonalForestWinterNight,000808_lcam_front_lidar.ply,0.10002,799,0.12742,0.12161,0.15001,500,0.0352,0.14067,0.25,200,0.05671,0.26965,strict
SeasonalForestWinterNight,000809_lcam_front_lidar.ply,0.10002,799,0.12833,0.1163,0.15001,500,0.06874,0.15974,0.25,200,0.00836,0.03901,strict
SeasonalForestWinterNight,000810_lcam_front_lidar.ply,0.10002,799,0.12754,0.1171,0.15001,500,0.02891,0.14921,0.25,200,0.01893,0.1782,strict
SeasonalForestWinterNight,000811_lcam_front_lidar.ply,0.10002,799,0.158,0.12367,0.15001,500,0.03225,0.15503,0.25,200,0.02341,0.18122,strict
SeasonalForestWinterNight,000812_lcam_front_lidar.ply,0.10002,799,0.12173,0.1171,0.15001,500,0.02873,0.14228,0.25,200,0.0457,0.21144,strict
SeasonalForestWinterNight,000813_lcam_front_lidar.ply,0.10002,799,0.09867,0.12317,0.15001,500,0.03345,0.14417,0.25,200,0.04933,0.22512,strict
SeasonalForestWinterNight,000814_lcam_front_lidar.ply,0.10002,799,0.09228,0.11678,0.15001,500,0.04152,0.1729,0.25,200,0.0229,0.17154,strict
SeasonalForestWinterNight,000815_lcam_front_lidar.ply,0.10002,799,0.08314,0.12076,0.15001,500,0.02209,0.10936,0.25,200,0.04406,0.20453,strict
SeasonalForestWinterNight,000816_lcam_front_lidar.ply,0.10002,799,0.14499,0.11189,0.15001,500,0.03122,0.15935,0.25,200,0.02235,0.16602,strict
SeasonalForestWinterNight,000817_lcam_front_lidar.ply,0.10002,799,0.14782,0.11702,0.15001,500,0.02731,0.14676,0.25,200,0.07988,0.26628,strict
SeasonalForestWinterNight,000818_lcam_front_lidar.ply,0.10002,799,0.14767,0.12383,0.15001,500,0.01793,0.0997,0.25,200,0.04313,0.20009,strict
SeasonalForestWinterNight,000819_lcam_front_lidar.ply,0.10002,799,0.11182,0.13094,0.15001,500,0.03179,0.15692,0.25,200,0.01003,0.04564,strict
SeasonalForestWinterNight,000820_lcam_front_lidar.ply,0.10002,799,0.14204,0.13206,0.15001,500,0.0309,0.16048,0.25,200,0.04346,0.20499,strict
SeasonalForestWinterNight,000821_lcam_front_lidar.ply,0.10002,799,0.09945,0.14219,0.15001,500,0.00365,0.01085,0.25,200,0.0021,0.00336,strict
SeasonalForestWinterNight,000822_lcam_front_lidar.ply,0.10002,799,0.09133,0.11756,0.15001,500,0.0336,0.14216,0.25,200,0.04348,0.20068,strict
SeasonalForestWinterNight,000823_lcam_front_lidar.ply,0.10002,799,0.09863,0.12614,0.15001,500,0.02651,0.11979,0.25,200,0.04206,0.19783,strict
SeasonalForestWinterNight,000824_lcam_front_lidar.ply,0.10002,799,0.16521,0.12719,0.15001,500,0.02792,0.15661,0.25,200,0.02357,0.16482,strict
SeasonalForestWinterNight,000825_lcam_front_lidar.ply,0.10002,799,0.15344,0.1191,0.15001,500,0.02063,0.10012,0.25,200,0.00521,0.03057,strict
SeasonalForestWinterNight,000826_lcam_front_lidar.ply,0.10002,799,0.1675,0.11929,0.15001,500,0.02276,0.09669,0.25,200,0.0146,0.22485,strict
SeasonalForestWinterNight,000827_lcam_front_lidar.ply,0.10002,799,0.10713,0.12873,0.15001,500,0.01962,0.10852,0.25,200,0.03323,0.18718,strict
SeasonalForestWinterNight,000828_lcam_front_lidar.ply,0.10002,799,0.14786,0.10976,0.15001,500,0.04929,0.16258,0.25,200,0.00535,0.03408,strict
SeasonalForestWinterNight,000829_lcam_front_lidar.ply,0.10002,799,0.11293,0.12016,0.15001,500,0.01341,0.11698,0.25,200,0.00542,0.03315,strict
SeasonalForestWinterNight,000830_lcam_front_lidar.ply,0.10002,799,0.09237,0.11779,0.15001,500,0.02959,0.14626,0.25,200,0.00559,0.03387,strict
SeasonalForestWinterNight,000831_lcam_front_lidar.ply,0.10002,799,0.0962,0.11169,0.15001,500,0.0203,0.10543,0.25,200,0.00559,0.03405,strict
SeasonalForestWinterNight,000832_lcam_front_lidar.ply,0.10002,799,0.09201,0.11939,0.15001,500,0.02365,0.11404,0.25,200,0.00569,0.03485,strict
SeasonalForestWinterNight,000833_lcam_front_lidar.ply,0.10002,799,0.10248,0.12329,0.15001,500,0.04191,0.15065,0.25,200,0.00565,0.03532,strict
SeasonalForestWinterNight,000834_lcam_front_lidar.ply,0.10002,799,0.0862,0.12038,0.15001,500,0.01959,0.1159,0.25,200,0.00594,0.03693,strict
SeasonalForestWinterNight,000835_lcam_front_lidar.ply,0.10002,799,0.10603,0.12377,0.15001,500,0.00496,0.08536,0.25,200,0.006,0.03776,strict
SeasonalForestWinterNight,000836_lcam_front_lidar.ply,0.10002,799,0.08495,0.12791,0.15001,500,0.02327,0.10988,0.25,200,0.00589,0.03696,strict
SeasonalForestWinterNight,000837_lcam_front_lidar.ply,0.10002,799,0.09648,0.11461,0.15001,500,0.02211,0.09471,0.25,200,0.00599,0.03745,strict
SeasonalForestWinterNight,000838_lcam_front_lidar.ply,0.10002,799,0.11329,0.13575,0.15001,500,0.02042,0.11599,0.25,200,0.00614,0.03797,strict
SeasonalForestWinterNight,000839_lcam_front_lidar.ply,0.10002,799,0.08981,0.12905,0.15001,500,0.02614,0.14641,0.25,200,0.00605,0.03646,strict
SeasonalForestWinterNight,000840_lcam_front_lidar.ply,0.10002,799,0.08727,0.12592,0.15001,500,0.02299,0.11528,0.25,200,0.00609,0.03669,strict
SeasonalForestWinterNight,000841_lcam_front_lidar.ply,0.10002,799,0.09242,0.11253,0.15001,500,0.02246,0.11646,0.25,200,0.00695,0.03665,strict
SeasonalForestWinterNight,000842_lcam_front_lidar.ply,0.10002,799,0.11383,0.12583,0.15001,500,0.02071,0.11695,0.25,200,0.00711,0.03695,strict
SeasonalForestWinterNight,000843_lcam_front_lidar.ply,0.10002,799,0.13714,0.14282,0.15001,500,0.27152,0.20593,0.25,200,0.00723,0.03538,standard
SeasonalForestWinterNight,000844_lcam_front_lidar.ply,0.10002,799,0.11897,0.12634,0.15001,500,0.04877,0.15297,0.25,200,0.00725,0.03476,strict
SeasonalForestWinterNight,000845_lcam_front_lidar.ply,0.10002,799,0.1092,0.12377,0.15001,500,0.02124,0.11818,0.25,200,0.00723,0.034,strict
SeasonalForestWinterNight,000846_lcam_front_lidar.ply,0.10002,799,0.108,0.1177,0.15001,500,0.04206,0.14166,0.25,200,0.00734,0.03437,strict
